epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,417.835,0.90656,0.67576,1.01891,0.79486,0.91055,0.88525,0.63178,1.00195,0.75948,1.06835,0.0011684,0.0011684,0.0011684
44,427.437,0.91484,0.67763,1.02589,0.86667,0.81256,0.86531,0.63264,0.9852,0.80651,1.05447,0.0011486,0.0011486,0.0011486
45,436.751,0.88253,0.65607,0.98828,0.87769,0.82522,0.89244,0.63479,1.00171,0.79248,1.0462,0.0011288,0.0011288,0.0011288
46,446.339,0.88458,0.70013,1.01203,0.89198,0.82573,0.88379,0.63509,1.04605,0.83725,1.08178,0.001109,0.001109,0.001109
47,455.559,0.86404,0.64927,1.00747,0.88699,0.81,0.87592,0.64493,0.99446,0.80502,1.05509,0.0010892,0.0010892,0.0010892
48,465.278,0.84393,0.62796,0.99705,0.85762,0.87338,0.89174,0.65993,0.98029,0.73977,1.0302,0.0010694,0.0010694,0.0010694
49,474.807,0.84206,0.62433,0.99034,0.85727,0.87093,0.89488,0.64984,0.97341,0.68915,1.02595,0.0010496,0.0010496,0.0010496
50,484.171,0.89134,0.63054,0.99169,0.86942,0.88,0.89472,0.66609,0.94216,0.71965,1.01343,0.0010298,0.0010298,0.0010298
51,493.466,0.82573,0.61221,0.97946,0.79021,0.92282,0.89797,0.6499,0.9927,0.73156,1.03401,0.00101,0.00101,0.00101
52,502.83,0.83614,0.59871,0.99511,0.87169,0.855,0.88704,0.65172,0.96778,0.72199,1.03172,0.0009902,0.0009902,0.0009902
53,512.127,0.80408,0.56489,0.98031,0.85841,0.84875,0.86398,0.64252,1.01597,0.76652,1.03915,0.0009704,0.0009704,0.0009704
54,521.624,0.8092,0.56546,0.98122,0.87371,0.85,0.89324,0.64396,1.01936,0.72084,1.02705,0.0009506,0.0009506,0.0009506
55,530.858,0.80231,0.59414,0.97454,0.81587,0.91,0.8892,0.65687,0.95631,0.71186,1.01616,0.0009308,0.0009308,0.0009308
56,540.319,0.80353,0.59262,0.972,0.87636,0.86,0.89941,0.66542,0.97196,0.70384,1.02298,0.000911,0.000911,0.000911
57,549.721,0.84418,0.58911,0.98205,0.89315,0.895,0.92379,0.69179,0.95972,0.67041,1.03449,0.0008912,0.0008912,0.0008912
58,559.295,0.80689,0.58795,0.98676,0.91193,0.895,0.91329,0.67525,0.96511,0.70049,1.01819,0.0008714,0.0008714,0.0008714
59,568.508,0.75479,0.56339,0.94047,0.88005,0.89,0.91667,0.6928,0.90991,0.70018,1.00136,0.0008516,0.0008516,0.0008516
60,578.117,0.76983,0.53621,0.96395,0.87392,0.86647,0.89521,0.67436,0.91834,0.71774,1.02139,0.0008318,0.0008318,0.0008318
61,587.436,0.75209,0.5434,0.96445,0.86561,0.86,0.90218,0.67801,0.96077,0.72874,1.02857,0.000812,0.000812,0.000812
62,596.861,0.79237,0.5701,0.98356,0.8607,0.86501,0.88182,0.64473,0.95723,0.69831,1.03349,0.0007922,0.0007922,0.0007922
63,606.165,0.7554,0.548,0.95721,0.8378,0.90394,0.88885,0.66252,0.90014,0.70367,1.00001,0.0007724,0.0007724,0.0007724
64,615.573,0.7505,0.54348,0.95287,0.85064,0.91125,0.89787,0.67722,0.93443,0.69649,0.99189,0.0007526,0.0007526,0.0007526
65,624.801,0.75993,0.54866,0.94864,0.84604,0.90675,0.8983,0.68747,0.91411,0.66444,0.99902,0.0007328,0.0007328,0.0007328
66,634.163,0.76161,0.52386,0.96183,0.85075,0.88356,0.90449,0.66998,0.94609,0.66318,0.9993,0.000713,0.000713,0.000713
67,643.435,0.74875,0.52592,0.95346,0.85877,0.845,0.89832,0.66541,0.97802,0.71815,1.01052,0.0006932,0.0006932,0.0006932
68,652.73,0.76642,0.53972,0.96527,0.8608,0.86574,0.89113,0.68775,0.90796,0.6812,0.99651,0.0006734,0.0006734,0.0006734
69,662.064,0.71382,0.50663,0.94024,0.83481,0.90968,0.89441,0.69617,0.86768,0.65791,0.97035,0.0006536,0.0006536,0.0006536
70,671.681,0.73479,0.52419,0.94437,0.87066,0.865,0.89644,0.70223,0.84607,0.62773,0.97512,0.0006338,0.0006338,0.0006338
71,681.119,0.74519,0.52293,0.96233,0.8813,0.87,0.91139,0.69634,0.89371,0.61657,0.98208,0.000614,0.000614,0.000614
72,690.55,0.7566,0.54189,0.96942,0.87686,0.92,0.91874,0.69162,0.91005,0.64049,0.99873,0.0005942,0.0005942,0.0005942
73,699.907,0.72768,0.53389,0.95085,0.88469,0.88229,0.91117,0.70083,0.89025,0.67494,0.99305,0.0005744,0.0005744,0.0005744
74,709.498,0.74621,0.53045,0.97591,0.87735,0.87,0.89133,0.67111,0.88053,0.68766,0.99039,0.0005546,0.0005546,0.0005546
75,718.634,0.70031,0.49655,0.94813,0.84561,0.9,0.89735,0.69515,0.87987,0.65791,0.97402,0.0005348,0.0005348,0.0005348
